id,carTypeId,model,year,manufacturer,milleage,status,storeId,description,photoPath,fuelType,latitude,longitude
1,5,Malibu,1962,Chevrolet,69015,reserved,10,A Full-Size car rental is helpful when needing more passenger room and luggage space than a smaller call offers.,\resources\carimages\fullsize_car.png,gas,43.7114079,-79.5377247
2,10,Maxima,1912,Nissan,33954,repair,10,A premium car rental offers comfortable seating with plenty of room in the trunk for luggage. A premium rental car is a great choice for a business travel or leisure.,\resources\carimages\premium_car.png,gas,43.7114079,-79.5377247
3,22,Grand Caravan,1913,Dodge,73251,repair,18,A minivan rental is perfect for long road trips and family vacations with room for 7 people.,\resources\carimages\7_passenger_van.png,hybrid,46.8130945,-71.2360168
4,21,F150 Super Crew,1968,Ford,84349,repair,9,Need to haul or move something? A pickup truck rental has the space,\resources\carimages\pickup_truck.png,hybrid,43.6653502,-79.4882599
5,22,Grand Caravan,1986,Dodge,24573,renting,20,A minivan rental is perfect for long road trips and family vacations with room for 7 people.,\resources\carimages\7_passenger_van.png,hybrid,43.7228203,-79.3062622
6,20,Colorado,1990,Chevy,92507,renting,3,A small pickup truck rental is great for hauling smaller items that won't fit in your own car.,\resources\carimages\small_pickup_truck.png,diesel,49.1967,123.1815
7,7,Mustang,1980,Ford,26494,repair,3,A Full-Size car rental is helpful when needing more passenger room and luggage space than a smaller call offers.,\resources\carimages\convertible_car.png,gas,49.1967,123.1815
8,1,Spark,1908,Chevrolet,43659,reserved,20,An economy car for driving in crowded,\resources\carimages\economy_car.png,gas,43.7228203,-79.3062622
9,14,Edge,1955,Ford,75278,avaliable,7,A standard SUV rental provides plenty of room for passengers and luggage. SUVs are great for business,\resources\carimages\standard_suv.png,gas,45.4884633,-73.6432817
10,19,Wrangler Unlimited,2013,Jeep,67230,repair,9,A standard elite SUV rental provides plenty of room for passengers and luggage. SUVs are great for business,\resources\carimages\jeep_4_door_suv.png,diesel,43.6653502,-79.4882599
11,6,Countryman,1992,MINI,40187,renting,16,A Full-Size car rental is helpful when needing more passenger room and luggage space than a smaller call offers.,\resources\carimages\sporty_car.png,hybrid,45.5996667,-73.5590308
12,21,F150 Super Crew,1920,Ford,86758,avaliable,15,Need to haul or move something? A pickup truck rental has the space,\resources\carimages\pickup_truck.png,hybrid,45.448481,-73.4729835
13,16,Suburban,1982,Chevrolet,81115,repair,18,A standard elite SUV rental provides plenty of room for passengers and luggage. SUVs are great for business,\resources\carimages\premium_suv.png,gas,46.8130945,-71.2360168
14,7,Mustang,1951,Ford,59240,repair,8,A Full-Size car rental is helpful when needing more passenger room and luggage space than a smaller call offers.,\resources\carimages\convertible_car.png,gas,43.6777215,-79.6270084
15,13,Escape,2013,Ford,36672,reserved,13,An Intermediate SUV rental  provides plenty of room for 5 passengers but is compact enough to for high traffic driving.,\resources\carimages\intermediate_suv.png,gas,43.8024045,-79.426192
16,3,Forte,1960,Kia,28246,avaliable,20,An intermediate car rental provides some more room for passengers and luggage than most smaller cars.,\resources\carimages\intermediate_car.png,gas,43.7228203,-79.3062622
17,18,Durango,1917,Dodge,89862,repair,13,"""A standard elite SUV rental provides plenty of room for passengers and luggage. SUVs are great for business",\resources\carimages\premium_crossover_suv.png,gas,43.8024045,-79.426192
18,1,Spark,2003,Chevrolet,76140,reserved,6,"""An economy car for driving in crowded",\resources\carimages\economy_car.png,gas,45.3629762,-73.8148386
19,20,Colorado,1944,Chevy,75279,avaliable,15,A small pickup truck rental is great for hauling smaller items that won't fit in your own car.,\resources\carimages\small_pickup_truck.png,diesel,45.448481,-73.4729835
20,2,Accent,1981,Hyundai,87465,avaliable,11,Compact cars offer great gas mileage and the ease of driving and parking in high traffic areas. ,\resources\carimages\compact_car.png,gas,43.7147304,-79.8032623
21,23,Transit Cargo,1941,Ford,60452,renting,9,Renting a cargo van is a great way to make small moves easy.,\resources\carimages\cargo_van.png,diesel,43.6653502,-79.4882599
22,21,F150 Super Crew,1986,Ford,27761,reserved,7,Need to haul or move something? A pickup truck rental has the space,\resources\carimages\pickup_truck.png,hybrid,45.4884633,-73.6432817
23,19,Wrangler Unlimited,1967,Jeep,85443,avaliable,16,A standard elite SUV rental provides plenty of room for passengers and luggage. SUVs are great for business,\resources\carimages\jeep_4_door_suv.png,diesel,45.5996667,-73.5590308
