"id","category","subtype","description","passengers","bags","dailyPrice","photoPath"
"1","Car","Economy","Chevrolet Spark or similar","4","2","79.98","\resources\carimages\economy_car.png"
"2","Car","Compact","Hyundai Accent or similar","5","2","89.98","\resources\carimages\compact_car.png"
"3","Car","Intermediate","Kia Forte or similar","5","3","99.98","\resources\carimages\intermediate_car.png"
"4","Car","Standard","Volkswagen Jetta or similar","5","4","119.98","\resources\carimages\standard_car.png"
"5","Car","Full Size","Chevrolet Malibu or similar","5","4","139.98","\resources\carimages\fullsize_car.png"
"6","Car","Sporty","MINI Countryman or similar","5","3","159.98","\resources\carimages\sporty_car.png"
"7","Car","Convertible","Ford Mustang or similar","4","2","179.98","\resources\carimages\convertible_car.png"
"8","Car","Full-Size Elite","BMW 3 series or similar","5","3","209.98","\resources\carimages\fullsize_elite_car.png"
"9","Car","Premium Special","Chrysler 300S or similar","5","5","269.98","\resources\carimages\premium_special_car.png"
"10","Car","Premium","Nissan Maxima or similar","5","4","249.98","\resources\carimages\premium_car.png"
"11","Car","Luxury","Cadillac XTS or similar","5","4","349.98","\resources\carimages\luxury_car.png"
"12","SUV","Compact SUV","Nissan Qashqai or similar","5","3","138.98","\resources\carimages\compact_suv.png"
"13","SUV","Intermediate SUV","Ford Escape or similar","5","4","168.98","\resources\carimages\intermediate_suv.png"
"14","SUV","Standard SUV","Ford Edge or similar","5","5","208.98","\resources\carimages\standard_suv.png"
"15","SUV","Full Size SUV","Chevrolet Tahoe or similar","7","3","268.98","\resources\carimages\fullsize_suv.png"
"16","SUV","Premium SUV","Chevrolet Suburban or similar","8","7","338.98","\resources\carimages\premium_suv.png"
"17","SUV","Standard Elite SUV","BMW X1 or similar","5","3","318.98","\resources\carimages\standard_elite_suv.png"
"18","SUV","Premium Crossover","Dodge Durango or similar","7","3","408.98","\resources\carimages\premium_crossover_suv.png"
"19","SUV","Jeep 4 Door","Jeep Wrangler Unlimited or similar","5","5","458.98","\resources\carimages\jeep_4_door_suv.png"
"20","Truck","Small Pickup","Chevy Colorado or similar","4","3","446.98","\resources\carimages\small_pickup_truck.png"
"21","Truck","Pickup","Ford F150 Super Crew or similar","5","4","506.98","\resources\carimages\pickup_truck.png"
"22","Van","7 Passenger Minivan","Dodge Grand Caravan or similar","7","5","325.98","\resources\carimages\7_passenger_van.png"
"23","Van","Cargo Van","Ford Transit Cargo or similar","2","50","425.98","\resources\carimages\cargo_van.png"
