id,carTypeId,model,year,manufacturer,milleage,status,storeId,description,photoPath,fuelType,latitude,longitude
"1",18,Durango,1952,Dodge,78601,avaliable,12,"""A standard elite SUV rental provides plenty of room for passengers and luggage. SUVs are great for business",\resources\carimages\premium_crossover_suv.png,gas,43.7795002,-79.309002
"2",14,Edge,1970,Ford,63723,avaliable,12,A standard SUV rental provides plenty of room for passengers and luggage. SUVs are great for business,\resources\carimages\standard_suv.png,gas,43.7795002,-79.309002
"3",11,XTS,1938,Cadillac,77648,avaliable,19,Relax on the road with a luxury rental car from Enterprise Rent-A-Car. Luxury car rentals include leather seats,\resources\carimages\luxury_car.png,gas,46.7774013,-71.1837802
"4",11,XTS,1927,Cadillac,24584,reserved,14,Relax on the road with a luxury rental car from Enterprise Rent-A-Car. Luxury car rentals include leather seats,\resources\carimages\luxury_car.png,gas,43.7938305,-79.5169511
"5",21,F150 Super Crew,1915,Ford,49711,renting,12,Need to haul or move something? A pickup truck rental has the space,\resources\carimages\pickup_truck.png,hybrid,43.7795002,-79.309002
"6",22,Grand Caravan,1927,Dodge,53895,avaliable,18,A minivan rental is perfect for long road trips and family vacations with room for 7 people.,\resources\carimages\7_passenger_van.png,hybrid,46.8130945,-71.2360168
"7",11,XTS,1939,Cadillac,97488,avaliable,9,Relax on the road with a luxury rental car from Enterprise Rent-A-Car. Luxury car rentals include leather seats,\resources\carimages\luxury_car.png,gas,43.6653502,-79.4882599
"8",6,Countryman,1925,MINI,45869,avaliable,10,A Full-Size car rental is helpful when needing more passenger room and luggage space than a smaller call offers.,\resources\carimages\sporty_car.png,hybrid,43.7114079,-79.5377247
"9",14,Edge,1976,Ford,48581,avaliable,9,A standard SUV rental provides plenty of room for passengers and luggage. SUVs are great for business,\resources\carimages\standard_suv.png,gas,43.6653502,-79.4882599
"10",20,Colorado,1947,Chevy,34160,avaliable,10,A small pickup truck rental is great for hauling smaller items that won't fit in your own car.,\resources\carimages\small_pickup_truck.png,diesel,43.7114079,-79.5377247
"11",5,Malibu,2000,Chevrolet,24035,avaliable,11,A Full-Size car rental is helpful when needing more passenger room and luggage space than a smaller call offers.,\resources\carimages\fullsize_car.png,gas,43.7147304,-79.8032623
"12",1,Spark,1976,Chevrolet,57632,renting,9,An economy car for driving in crowded,\resources\carimages\economy_car.png,gas,43.6653502,-79.4882599
"13",10,Maxima,1962,Nissan,88393,reserved,20,A premium car rental offers comfortable seating with plenty of room in the trunk for luggage. A premium rental car is a great choice for a business travel or leisure.,\resources\carimages\premium_car.png,gas,43.7228203,-79.3062622
"14",21,F150 Super Crew,1940,Ford,64657,avaliable,7,Need to haul or move something? A pickup truck rental has the space,\resources\carimages\pickup_truck.png,hybrid,45.4884633,-73.6432817
"15",12,Qashqai,1986,Nissan,62872,reserved,4,An Intermediate SUV rental  provides plenty of room for 5 passengers but is compact enough to for high traffic driving.,\resources\carimages\compact_suv.png,gas,45.5070645,-73.5682808
"16",6,Countryman,1946,MINI,78545,avaliable,19,A Full-Size car rental is helpful when needing more passenger room and luggage space than a smaller call offers.,\resources\carimages\sporty_car.png,hybrid,46.7774013,-71.1837802
"17",15,Tahoe,1927,Chevrolet,30885,avaliable,20,A full-size SUV rental has room to seat up to seven people and offers a powerful engine. Full-size SUVs are great for weekend road trips and special occasions.,\resources\carimages\fullsize_suv.png,gas,43.7228203,-79.3062622
